strID,strName,strMinMass,strAverMass,strMaxMass,strMinPeriodNum,strAverPeriodNum,strMaxPeriodNum,strMinGroupNum,strAverGroupNum,strMaxGroupNum,strMinRaduis,strAverRaduis,strMaxRaduis,strMinEleNegativity,strAverEleNegativity,strMaxEleNegativity,strAverSValenceEleNum,strAverPValenceEleNum,strAverDValenceEleNum,strAverFValenceEleNum,strAverSUnfilledState,strAverPUnfilledState,strAverDUnfilledState,strAverFUnfilledState,strMinIonizationEner,strAverIonizationEner,strMaxIonizationEner,strMinEleAffinity,strAverEleAffinity,strMaxEleAffinity,strMinMeltingPoint,strAverMeltingPoint,strMaxMeltingPoint,strMinBoilingPoint,strAverBoilingPoint,strMaxBoilingPoint,strMinDensity,strAverDensity,strMaxDensity,strNegaMinGap,strNegaAverGap,strNegaMaxGap,strPosiMinGap,strPosiAverGap,strPosiMaxGap,strMinNegaDipoleTotal,strAverNegaDipoleTotal,strMaxNegaDipoleTotal,strMinPosiDipoleTotal,strAverPosiDipoleTotal,strMaxPosiDipoleTotal,strMinNegaAnisoQuadrupole,strAverNegaAnisoQuadrupole,strMaxNegaAnisoQuadrupole,strMinPosiAnisoQuadrupole,strAverPosiAnisoQuadrupole,strMaxPosiAnisoQuadrupole,strMinNegaAnisoPolar,strAverNegaAnisoPolar,strMaxNegaAnisoPolar,strMinPosiAnisoPolar,strAverPosiAnisoPolar,strMaxPosiAnisoPolar,strMinNegaTotalHyperPolar,strAverNegaTotalHyperPolar,strMaxNegaTotalHyperPolar,strMinPosiTotalHyperPolar,strAverPosiTotalHyperPolar,strMaxPosiTotalHyperPolar,strTotalNegaCharge,strTotalPosiCharge,strTotalNegaMultiplicity,strTotalPosiMultiplicity,strMinNegaFlexibility,strTotalNegaFlexibility,strAverNegaFlexibility,strMaxNegaFlexibility,strMinPosiFlexibility,strTotalPosiFlexibility,strAverPosiFlexibility,strMaxPosiFlexibility,strAverNegaCharge,strSpaceGroupID,strLengthMinDiff,strLengthMaxDiff,strAngleMinDiff,strAngleMaxDiff,strCellVolume,strBandGap,strBiRefracIndex,strMaxDij,
99,,1.008,14.366256415686273,78.97,1,1.7254901960784315,4,1,6.549019607843137,16,120,144.45098039215685,227,0.93,2.464509803921569,3.44,1.3725490196078431,1.4509803921568627,0.9803921568627451,0.0,0.6274509803921569,0.7843137254901961,0.0,0.0,5.139,12.526666666666669,13.618,0.548,1.0429803921568628,2.021,13.81,114.06901960784315,1211.4,20.28,262.60078431372546,3106,0.00008988,0.558069071372549,5.323,5.742736064000001,9.355529490666667,15.834974272,6.2464227800000005,6.2464227800000005,6.2464227800000005,1.8726,19.407300000000003,32.1454,1.8647,1.8647,1.8647,8.466064201268498,39.73495958982982,60.98297876948944,30.73929707930876,32.60399707930876,30.73929707930876,0.0,414.97765733333335,1244.41,72.1548,72.1548,72.1548,3.372291122071165e-05,1089787.0934233523,3269266.393777809,1351.9241317479352,1351.9241317479352,1351.9241317479352,-6.0,0.0,3,1,0.0,0.04626052784678873,0.015420175948929577,0.04626052784678873,0.08292515416892428,0.08292515416892428,0.08292515416892428,0.08292515416892428,-2.0,,1.6571,4.7212,0.02,17.403,1119.58,2.613,0.027,,
1725,,10.81,23.271636363636365,39.098,2,2.4545454545454546,4,1,15.363636363636363,17,152,168.6818181818182,275,0.82,3.05,3.44,1.9545454545454546,3.8636363636363638,0.0,0.0,0.045454545454545456,1.8636363636363635,0.0,0.0,4.341,12.243954545454546,13.618,0.277,1.8675454545454544,3.617,54.36,253.495,2348,90.2,464.3109090909091,4273,0.001429,0.5253638181818182,2.37,4.813459924,8.285297262666667,11.269412024,5.293744664000001,5.293744664000001,5.293744664000001,3.6247,21.69366666666667,35.6783,2.6394,2.6394,2.6394,2.735487133948906,22.605495711316305,103.94670847386173,34.753004898713435,37.39240489871344,34.753004898713435,0.0,176.47646098333334,529.423,1403.27,1403.27,1403.27,0.0,121.86707492645382,362.66801809051555,4322802.785533387,4322802.785533387,4322802.785533387,-6.0,0.0,3,1,0.0,0.2715781722529323,0.09052605741764409,0.20137765097317284,0.09420750740383044,0.09420750740383044,0.09420750740383044,0.09420750740383044,-2.0,,0.12641,0.45121,2.06,38.33,811.7,5.179,0.064,,
1973,,1.008,12.219936460869565,22.9897693,1,1.8695652173913044,3,1,10.782608695652174,16,120,160.2608695652174,227,0.93,2.6478260869565213,3.44,1.6956521739130435,2.130434782608696,0.0,0.0,0.30434782608695654,2.0434782608695654,0.0,0.0,5.139,11.719826086956523,13.618,0.277,0.9705217391304349,1.461,13.81,571.6917391304347,2348,20.28,1076.9826086956523,4273,0.00008988,0.6002681913043479,2.37,4.813459924,10.34176858,15.834974272,6.2464227800000005,6.2464227800000005,6.2464227800000005,1.8726,16.69503333333333,35.6783,1.8647,1.8647,1.8647,8.466064201268498,51.34393615795391,103.94670847386173,30.73929707930876,32.60399707930876,30.73929707930876,0.522972,178.43668066666666,529.423,72.1548,72.1548,72.1548,94.88645852491281,636.454825538476,1451.81,1351.9241317479352,1351.9241317479352,1351.9241317479352,-4.0,0.0,3,1,0.0,0.07020052127975945,0.023400173759919818,0.07020052127975945,0.08292515416892428,0.08292515416892428,0.08292515416892428,0.08292515416892428,-1.3333333333333333,,0.8421,5.4971,0,0,875,4.998,0.054,,
2081,,10.81,27.25893911111111,132.905452,2,2.4444444444444446,6,1,13.333333333333334,16,152,186.55555555555554,343,0.79,2.678888888888889,3.44,1.8888888888888888,2.5555555555555554,0.0,0.0,0.1111111111111111,2.7777777777777777,0.0,0.0,3.894,10.764222222222223,13.618,0.277,0.9564444444444445,1.461,54.36,846.3766666666667,2348,90.2,1579.3333333333333,4273,0.001429,1.0052383333333335,2.37,4.813459924,4.813459924,4.813459924,5.38925738,5.38925738,5.38925738,35.6783,35.6783,35.6783,2.3672,2.3672,2.3672,103.94670847386173,139.62500847386173,103.94670847386173,28.296865882637956,30.664065882637956,28.296865882637956,529.423,529.423,529.423,693.401,693.401,693.401,362.66801809051555,362.66801809051555,362.66801809051555,1804660.2037110676,1804660.2037110676,1804660.2037110676,-3.0,0.0,1,1,0.07020052127975945,0.07020052127975945,0.07020052127975945,0.07020052127975945,0.11942965813600481,0.11942965813600481,0.11942965813600481,0.11942965813600481,-3.0,,0.6491,2.9571,0,0,485.47,5.305,0.059,1.17,
4225,,10.81,17.60802239777778,24.305,2,2.2777777777777777,3,2,11.666666666666666,17,135,163.55555555555554,192,1.31,2.645,3.98,2.0,2.4444444444444446,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,7.646,11.283833333333332,17.423,-0.22,0.9010555555555554,3.339,53.53,677.8761111111112,2348,85.03,1140.6016666666667,4273,0.001429,0.8791420555555555,2.37,4.813459924,9.987201432,15.160942940000002,7.365091656000001,7.365091656000001,7.365091656000001,10.2017,22.94,35.6783,7.4825,7.4825,7.4825,21.667531532225816,33.77376576611291,103.94670847386173,20.31769565206645,27.80019565206645,20.31769565206645,0.0,264.7115,529.423,45.9554,45.9554,45.9554,0.0,181.33400904525777,362.66801809051555,12450.1,12450.1,12450.1,-4.0,0.0,2,1,0.0,0.07020052127975945,0.03510026063987973,0.07020052127975945,0.0833298038525357,0.0833298038525357,0.0833298038525357,0.0833298038525357,-2.0,,4.8035,10.3288,0,0,678.39,5.35,0.033,,
4481,,1.008,16.6675,39.098,1,2.2,4,1,11.5,16,120,177.25,275,0.82,2.573,3.44,1.75,2.25,0.0,0.0,0.25,2.25,0.0,0.0,4.341,10.89445,13.618,0.277,0.9503,1.461,13.81,666.0405000000001,2348,20.28,1270.178,4273,0.00008988,0.7267234880000001,2.37,4.813459924,7.595165733999999,10.376871543999998,5.293744664000001,5.293744664000001,5.293744664000001,12.5342,24.10625,35.6783,2.6394,2.6394,2.6394,30.444951916040203,76.07960423693086,103.94670847386173,34.753004898713435,37.39240489871344,34.753004898713435,5.36407,267.393535,529.423,1403.27,1403.27,1403.27,362.66801809051555,907.2390090452577,1451.81,4322802.785533387,4322802.785533387,4322802.785533387,-4.0,0.0,2,1,0.0,0.07020052127975945,0.03510026063987973,0.07020052127975945,0.09420750740383044,0.09420750740383044,0.09420750740383044,0.09420750740383044,-2.0,,5.581122,11.711062,0,0,2018.41,5.046,0.066,,
4493,,1.008,28.4787027027027,207.2,1,2.2162162162162162,6,1,13.405405405405405,16,120,163.40540540540542,202,2.04,2.8375675675675676,3.44,1.8918918918918919,2.5945945945945947,0.8108108108108109,1.135135135135135,0.10810810810810811,2.7567567567567566,0.0,0.0,7.417,11.675216216216217,13.618,0.277,0.9752972972972973,1.461,13.81,714.1694594594595,2348,20.28,1369.76,4273,0.00008988,1.5609443113513515,11.342,4.813459924,7.595165733999999,10.376871543999998,10.162988368,10.162988368,10.162988368,12.5342,24.10625,35.6783,4.7807,4.7807,4.7807,30.444951916040203,76.07960423693086,103.94670847386173,17.621631623660733,22.402331623660732,17.621631623660733,5.36407,267.393535,529.423,23.3664,23.3664,23.3664,362.66801809051555,907.2390090452577,1451.81,1877.97,1877.97,1877.97,-4.0,0.0,2,1,0.0,0.07020052127975945,0.03510026063987973,0.07020052127975945,0.06116441488577929,0.06116441488577929,0.06116441488577929,0.06116441488577929,-2.0,,0,1.54774,0,30,751,4.108,0.01,,
5244,,10.81,20.154833333333332,40.08,2,2.4166666666666665,4,2,13.0,16,152,176.66666666666666,231,1,2.6716666666666664,3.44,2.0,2.6666666666666665,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,6.113,11.025,13.618,-1.39,0.7821666666666668,1.461,54.36,749.46,2348,90.2,1352.45,4273,0.001429,0.8466335833333334,2.37,4.813459924,4.854821556000001,4.896183188000001,7.107397804000001,7.107397804000001,7.107397804000001,29.9537,32.816,35.6783,8.7460,8.746,8.7460,46.69903252038526,56.16551626019263,103.94670847386173,25.83197335628852,34.57797335628852,25.83197335628852,0.947505,265.1852525,529.423,86.1915,86.1915,86.1915,362.66801809051555,585.8913828269206,809.1147475633256,138.91100000003453,138.91100000003453,138.91100000003453,-7.0,0.0,2,1,0.07020052127975945,0.14474638477350854,0.07237319238675427,0.0745458634937491,0.13694458048593572,0.13694458048593572,0.13694458048593572,0.13694458048593572,-3.5,,0,2.3071,0,0,244.56,5.514,0.01,,
6292,,1.008,11.276923076923076,39.098,1,1.7692307692307692,4,1,10.23076923076923,16,120,154.57692307692307,275,0.82,2.6884615384615382,3.44,1.6538461538461537,2.0384615384615383,0.0,0.0,0.34615384615384615,1.8846153846153846,0.0,0.0,4.341,12.231961538461539,13.618,0.277,0.9788461538461538,1.461,13.81,493.8203846153846,2348,20.28,909.2938461538463,4273,0.00008988,0.49068719384615395,2.37,4.813459924,10.34176858,15.834974272,5.293744664000001,5.293744664000001,5.293744664000001,1.8726,16.69503333333333,35.6783,2.6394,2.6394,2.6394,8.466064201268498,51.34393615795391,103.94670847386173,34.753004898713435,37.39240489871344,34.753004898713435,0.522972,178.43668066666666,529.423,1403.27,1403.27,1403.27,94.88645852491281,636.454825538476,1451.81,4322802.785533387,4322802.785533387,4322802.785533387,-4.0,0.0,3,1,0.0,0.07020052127975945,0.023400173759919818,0.07020052127975945,0.09420750740383044,0.09420750740383044,0.09420750740383044,0.09420750740383044,-1.3333333333333333,,0.113,2.134,0,0,1117.63,5.761,0.062,,
10380,,15.999,41.56620714285714,180.9479,2,2.857142857142857,6,1,13.714285714285714,16,152,178.07142857142858,275,0.82,2.807857142857143,3.44,1.9285714285714286,3.0,2.357142857142857,1.0,0.07142857142857142,2.142857142857143,0.5,0.0,4.341,11.32092857142857,13.618,0.322,1.2872857142857144,1.461,54.36,553.5692857142857,3290,90.2,1206.6285714285714,5731,0.001429,2.3765615,16.4,5.742736064000001,6.405474582000001,7.068213100000001,5.293744664000001,5.293744664000001,5.293744664000001,32.1454,46.144999999999996,60.1446,2.6394,2.6394,2.6394,53.782985427177614,171.67677478080003,251.06354956160004,34.753004898713435,37.39240489871344,34.753004898713435,0.0384513,622.22422565,1244.41,1403.27,1403.27,1403.27,5490.354670040984,1637378.374223925,3269266.393777809,4322802.785533387,4322802.785533387,4322802.785533387,-7.0,0.0,2,1,0.04626052784678873,0.16156768774151237,0.08078384387075618,0.11530715989472363,0.09420750740383044,0.09420750740383044,0.09420750740383044,0.09420750740383044,-3.5,,0,3.172,0,30,427.03,3.609,0.049,,
10381,,15.999,44.878350000000005,180.9479,2,2.9285714285714284,6,1,13.714285714285714,16,152,180.07142857142858,303,0.82,2.807857142857143,3.44,1.9285714285714286,3.0,2.357142857142857,1.0,0.07142857142857142,2.142857142857143,0.5,0.0,4.177,11.309214285714285,13.618,0.322,1.2849285714285714,1.461,54.36,551.85,3290,90.2,1201.5571428571427,5731,0.001429,2.422275785714286,16.4,5.742736064000001,6.405474582000001,7.068213100000001,5.014009416,5.014009416,5.014009416,32.1454,46.144999999999996,60.1446,4.5990,4.599,4.5990,53.782985427177614,171.67677478080003,251.06354956160004,33.92048310917756,38.51948310917756,33.92048310917756,0.0384513,622.22422565,1244.41,2079.48,2079.48,2079.48,5490.354670040984,1637378.374223925,3269266.393777809,6156026.421137709,6156026.421137709,6156026.421137709,-7.0,0.0,2,1,0.04626052784678873,0.16156768774151237,0.08078384387075618,0.11530715989472363,0.09945555832153975,0.09945555832153975,0.09945555832153975,0.09945555832153975,-3.5,,0,3.075,0,30,434.32,3.577,0.044,,
10382,,15.999,38.58967142857143,92.9064,2,2.857142857142857,5,1,13.714285714285714,16,152,179.35714285714286,303,0.82,2.8150000000000004,3.44,1.8571428571428572,3.0,2.4285714285714284,0.0,0.14285714285714285,2.142857142857143,0.42857142857142855,0.0,4.177,11.22842857142857,13.618,0.468,1.3257142857142858,1.461,54.36,513.2785714285715,2750,90.2,1150.5571428571427,5017,0.001429,1.8629900714285714,8.57,5.742736064000001,6.4249308759999995,7.107125687999999,5.014009416,5.014009416,5.014009416,32.1454,46.14475,60.1441,4.5990,4.599,4.5990,53.782985427177614,171.6333158201575,250.97713164031498,33.92048310917756,38.51948310917756,33.92048310917756,0.302327,622.3561635000001,1244.41,2079.48,2079.48,2079.48,20066.431425714436,1644666.4126017618,3269266.393777809,6156026.421137709,6156026.421137709,6156026.421137709,-7.0,0.0,2,1,0.04626052784678873,0.14098580287439544,0.07049290143719772,0.09472527502760669,0.09945555832153975,0.09945555832153975,0.09945555832153975,0.09945555832153975,-3.5,,0,3.094,0,30,434.63,2.854,0.093,,
10383,,15.999,53.37227857142857,204.383,2,3.0,6,5,14.571428571428571,16,152,172.42857142857142,217,1.5,2.8649999999999998,3.44,2.0,3.0714285714285716,3.0714285714285716,2.0,0.0,2.5,0.5,0.0,6.108,11.447142857142856,13.618,0.2,1.2657857142857143,1.461,54.36,570.7457142857144,3290,90.2,1257.6285714285714,5731,0.001429,3.155847214285714,16.4,5.742736064000001,6.405474582000001,7.068213100000001,8.908805724,8.908805724,8.908805724,32.1454,46.144999999999996,60.1446,0.0110,0.011,0.0110,53.782985427177614,171.67677478080003,251.06354956160004,2.719780274213342,2.730780274213342,2.719780274213342,0.0384513,622.22422565,1244.41,92.6575,92.6575,92.6575,5490.354670040984,1637378.374223925,3269266.393777809,20.28151209870704,20.28151209870704,20.28151209870704,-7.0,0.0,2,1,0.04626052784678873,0.16156768774151237,0.08078384387075618,0.11530715989472363,0.04717677166785128,0.04717677166785128,0.04717677166785128,0.04717677166785128,-3.5,,0,3.088,0,30,434.04,3.86,0.008,,
10384,,15.999,44.13721428571428,137.33,2,2.9285714285714284,6,2,14.428571428571429,16,152,177.57142857142858,268,0.89,2.845714285714286,3.44,2.0,3.142857142857143,2.857142857142857,0.0,0.0,2.4285714285714284,0.0,0.0,5.212,11.344142857142856,13.618,-0.48,1.2799285714285715,1.461,54.36,402.0371428571429,1211.4,90.2,1083.9142857142856,3106,0.001429,1.9206329285714288,7.287,5.742736064000001,5.760151488000002,5.777566912000002,7.437474511999999,7.437474511999999,7.437474511999999,32.1454,32.145700000000005,32.1460,8.2896,8.2896,8.2896,53.781988708209745,59.03719271358881,53.782985427177614,25.893300111804987,34.18290011180498,25.893300111804987,0.446565,622.4282825,1244.41,67.7832,67.7832,67.7832,683.5696864269889,1634974.981732118,3269266.393777809,26748.7,26748.7,26748.7,-8.0,0.0,2,1,0.04626052784678873,0.09600498956921073,0.048002494784605367,0.049744461722422,0.23420302761571538,0.23420302761571538,0.23420302761571538,0.23420302761571538,-4.0,,0,3.339,0,30,421.19,3.242,0.004,,
10443,,10.81,23.271636363636365,39.098,2,2.4545454545454546,4,1,15.363636363636363,17,152,168.6818181818182,275,0.82,3.05,3.44,1.9545454545454546,3.8636363636363638,0.0,0.0,0.045454545454545456,1.8636363636363635,0.0,0.0,4.341,12.243954545454546,13.618,0.277,1.8675454545454544,3.617,54.36,253.495,2348,90.2,464.3109090909091,4273,0.001429,0.5253638181818182,2.37,4.813459924,8.285297262666667,11.269412024,5.293744664000001,5.293744664000001,5.293744664000001,3.6247,21.69366666666667,35.6783,2.6394,2.6394,2.6394,2.735487133948906,22.605495711316305,103.94670847386173,34.753004898713435,37.39240489871344,34.753004898713435,0.0,176.47646098333334,529.423,1403.27,1403.27,1403.27,0.0,121.86707492645382,362.66801809051555,4322802.785533387,4322802.785533387,4322802.785533387,-6.0,0.0,3,1,0.0,0.2715781722529323,0.09052605741764409,0.20137765097317284,0.09420750740383044,0.09420750740383044,0.09420750740383044,0.09420750740383044,-2.0,,2.366,11.93799,0,19.32,1623.39,4.374,0.065,,
12134,,1.008,15.690674561538462,28.085,1,2.076923076923077,3,1,12.0,16,120,164.84615384615384,227,0.93,2.7115384615384617,3.44,1.7692307692307692,2.5384615384615383,0.0,0.0,0.23076923076923078,2.076923076923077,0.0,0.0,5.139,11.712538461538461,13.618,0.277,1.1792307692307693,1.461,13.81,500.08384615384614,2348,20.28,1013.6123076923076,4273,0.00008988,0.6161063661538463,2.37,4.813459924,6.6955048853333325,10.376871543999998,6.2464227800000005,6.2464227800000005,6.2464227800000005,12.5342,26.055400000000002,35.6783,1.8647,1.8647,1.8647,30.444951916040203,41.62174417346176,103.94670847386173,30.73929707930876,32.60399707930876,30.73929707930876,0.947505,178.57819166666664,529.423,72.1548,72.1548,72.1548,362.66801809051555,874.5309218846137,1451.81,1351.9241317479352,1351.9241317479352,1351.9241317479352,-8.0,0.0,3,1,0.0,0.14474638477350854,0.04824879492450285,0.0745458634937491,0.08292515416892428,0.08292515416892428,0.08292515416892428,0.08292515416892428,-2.6666666666666665,,1.16034,3.075972,0,3.951,236.92,2.363,0.224,,
14174,,15.999,57.81158333333334,137.33,2,3.6666666666666665,6,2,13.0,16,139,194.08333333333334,268,0.89,2.1975000000000002,3.44,2.0,2.6666666666666665,2.5,0.0,0.0,1.8333333333333333,0.0,0.0,5.212,9.283,13.618,-0.48,1.31275,2.077,54.36,625.0,1211.4,90.2,1344.0583333333334,3106,0.001429,3.118619083333334,7.134,5.742736064000001,6.455271810000001,7.167807556000001,7.437474511999999,8.071504791999999,8.705535072,16.3667,24.256050000000002,32.1454,5.7329,7.01125,8.2896,27.884364562421,51.147542713588805,53.782985427177614,15.242210688413936,19.957900055902492,25.893300111804987,0.0,622.205,1244.41,32.0691,49.92614999999999,67.7832,1.07572e-05,1634633.1968942832,3269266.393777809,2632.25,14690.475,26748.7,-6.0,0.0,2,2,0.0,0.04626052784678873,0.023130263923394366,0.04626052784678873,0.0463331750717754,0.2805362026874908,0.1402681013437454,0.23420302761571538,-3.0,,0,3.185296,0,0,598.94,2.396,0.105,,
15674,,15.999,40.84578571428572,137.33,2,2.857142857142857,6,2,14.428571428571429,16,152,177.14285714285714,268,0.89,2.849285714285714,3.44,2.0,3.142857142857143,2.857142857142857,0.0,0.0,2.4285714285714284,0.0,0.0,5.212,11.383857142857142,13.618,-0.48,1.290642857142857,1.461,54.36,452.48857142857145,1211.4,90.2,1100.4142857142856,3106,0.001429,1.7803472142857146,5.323,5.742736064000001,5.742736064000001,5.742736064000001,7.437474511999999,7.437474511999999,7.437474511999999,32.1454,32.1454,32.1454,8.2896,8.2896,8.2896,53.782985427177614,85.92838542717762,53.782985427177614,25.893300111804987,34.18290011180498,25.893300111804987,1244.41,1244.41,1244.41,67.7832,67.7832,67.7832,3269266.393777809,3269266.393777809,3269266.393777809,26748.7,26748.7,26748.7,-4.0,0.0,1,1,0.04626052784678873,0.04626052784678873,0.04626052784678873,0.04626052784678873,0.23420302761571538,0.23420302761571538,0.23420302761571538,0.23420302761571538,-4.0,,0,6.87,0,30,553.32,3.357,0.009,,
16178,,9.012183,17.102908035555554,39.098,2,2.2222222222222223,4,1,11.11111111111111,17,135,166.55555555555554,275,0.82,2.697777777777778,3.98,1.8888888888888888,2.5555555555555554,0.0,0.0,0.1111111111111111,1.4444444444444444,0.0,0.0,4.341,11.887222222222222,17.423,0.277,1.3998888888888887,3.339,53.53,674.9633333333334,2348,85.03,1248.1844444444444,4273,0.001429,0.7741865555555555,2.37,4.813459924,8.851570658666668,15.160942940000002,5.293744664000001,5.293744664000001,5.293744664000001,10.2017,22.1913,35.6783,2.6394,2.6394,2.6394,21.667531532225816,29.41381051074194,103.94670847386173,34.753004898713435,37.39240489871344,34.753004898713435,0.0,187.9203,529.423,1403.27,1403.27,1403.27,0.0,120.948445697535,362.66801809051555,4322802.785533387,4322802.785533387,4322802.785533387,-6.0,0.0,3,1,0.0,0.13317941276348383,0.044393137587827945,0.07020052127975945,0.09420750740383044,0.09420750740383044,0.09420750740383044,0.09420750740383044,-2.0,,0.9283,3.2744,0,22.81,214.69,6.216,0.073,,
18001,,10.81,21.064764705882354,79.9,2,2.3529411764705883,4,2,13.529411764705882,17,152,174.88235294117646,231,1,2.712941176470588,3.44,2.0,2.7058823529411766,0.5882352941176471,0.0,0.0,2.588235294117647,0.0,0.0,6.113,11.064235294117646,13.618,-1.39,0.8893529411764707,3.365,54.36,866.1876470588236,2348,90.2,1530.75,4273,0.001429,1.061933,3.11,4.813459924,7.388765748,9.964071572,7.107397804000001,7.107397804000001,7.107397804000001,12.1019,23.8901,35.6783,8.7460,8.746,8.7460,30.49150491104039,39.135852455520194,103.94670847386173,25.83197335628852,34.57797335628852,25.83197335628852,0.0,264.7115,529.423,86.1915,86.1915,86.1915,0.0,181.33400904525777,362.66801809051555,138.91100000003453,138.91100000003453,138.91100000003453,-4.0,0.0,2,1,0.0,0.07020052127975945,0.03510026063987973,0.07020052127975945,0.13694458048593572,0.13694458048593572,0.13694458048593572,0.13694458048593572,-2.0,,0.142,5.1041,0,0,807.22,5.542,0.012,,
